pv_size_kwp,battery_size_kwh,total_load_kwh,total_pv_generation_kwh,total_grid_import_kwh,total_curtailed_kwh,total_battery_charge_kwh,total_battery_discharge_kwh,renewable_fraction,grid_dependency,curtailment_fraction,shortage_hours,loss_of_load_probability,max_consecutive_shortage_hours,capex_estimate
10,0,198603.39999999997,13285.4896,185317.9104,0.0,0.0,0.0,0.06689457280187537,0.9331054271981246,0.0,8760,1.0,8760,7000
10,0,198603.39999999997,13285.4896,185317.9104,0.0,0.0,0.0,0.06689457280187537,0.9331054271981246,0.0,8760,1.0,8760,7000
10,10,198603.39999999997,13285.4896,185314.1156668078,0.0,0.0,3.794733192202055,0.0669136798926512,0.9330863201073488,0.0,8760,1.0,8760,10000
10,10,198603.39999999997,13285.4896,185314.1156668078,0.0,0.0,3.794733192202055,0.0669136798926512,0.9330863201073488,0.0,8760,1.0,8760,10000
10,20,198603.39999999997,13285.4896,185310.3209336156,0.0,0.0,7.58946638440411,0.06693278698342704,0.9330672130165729,0.0,8759,0.9998858447488584,8759,13000
10,20,198603.39999999997,13285.4896,185310.3209336156,0.0,0.0,7.58946638440411,0.06693278698342704,0.9330672130165729,0.0,8759,0.9998858447488584,8759,13000
10,40,198603.39999999997,13285.4896,185302.73146723118,0.0,0.0,15.17893276880822,0.066971001164979,0.933028998835021,0.0,8757,0.9996575342465753,8757,19000
10,40,198603.39999999997,13285.4896,185302.73146723118,0.0,0.0,15.17893276880822,0.066971001164979,0.933028998835021,0.0,8757,0.9996575342465753,8757,19000
10,60,198603.39999999997,13285.4896,185295.1420008468,0.0,0.0,22.768399153212336,0.06700921534653068,0.9329907846534693,0.0,8755,0.9994292237442922,8755,25000
10,60,198603.39999999997,13285.4896,185295.1420008468,0.0,0.0,22.768399153212336,0.06700921534653068,0.9329907846534693,0.0,8755,0.9994292237442922,8755,25000
10,100,198603.39999999997,13285.4896,185279.96306807798,0.0,0.0,37.94733192202056,0.06708564370963431,0.9329143562903657,0.0,8754,0.9993150684931507,8754,37000
10,100,198603.39999999997,13285.4896,185279.96306807798,0.0,0.0,37.94733192202056,0.06708564370963431,0.9329143562903657,0.0,8754,0.9993150684931507,8754,37000
20,0,198603.39999999997,26570.9792,172032.42080000002,0.0,0.0,0.0,0.13378914560375074,0.8662108543962492,0.0,8760,1.0,8760,14000
20,0,198603.39999999997,26570.9792,172032.42080000002,0.0,0.0,0.0,0.13378914560375074,0.8662108543962492,0.0,8760,1.0,8760,14000
20,10,198603.39999999997,26570.9792,172028.6260668078,0.0,0.0,3.794733192202055,0.1338082526945267,0.8661917473054733,0.0,8760,1.0,8760,17000
20,10,198603.39999999997,26570.9792,172028.6260668078,0.0,0.0,3.794733192202055,0.1338082526945267,0.8661917473054733,0.0,8760,1.0,8760,17000
20,20,198603.39999999997,26570.9792,172024.8313336156,0.0,0.0,7.58946638440411,0.13382735978530255,0.8661726402146974,0.0,8759,0.9998858447488584,8759,20000
20,20,198603.39999999997,26570.9792,172024.8313336156,0.0,0.0,7.58946638440411,0.13382735978530255,0.8661726402146974,0.0,8759,0.9998858447488584,8759,20000
20,40,198603.39999999997,26570.9792,172017.2418672312,0.0,0.0,15.17893276880822,0.13386557396685436,0.8661344260331456,0.0,8757,0.9996575342465753,8757,26000
20,40,198603.39999999997,26570.9792,172017.2418672312,0.0,0.0,15.17893276880822,0.13386557396685436,0.8661344260331456,0.0,8757,0.9996575342465753,8757,26000
20,60,198603.39999999997,26570.9792,172009.6524008468,0.0,0.0,22.768399153212336,0.13390378814840617,0.8660962118515938,0.0,8755,0.9994292237442922,8755,32000
20,60,198603.39999999997,26570.9792,172009.6524008468,0.0,0.0,22.768399153212336,0.13390378814840617,0.8660962118515938,0.0,8755,0.9994292237442922,8755,32000
20,100,198603.39999999997,26570.9792,171994.47346807798,0.0,0.0,37.94733192202056,0.13398021651150982,0.8660197834884902,0.0,8754,0.9993150684931507,8754,44000
20,100,198603.39999999997,26570.9792,171994.47346807798,0.0,0.0,37.94733192202056,0.13398021651150982,0.8660197834884902,0.0,8754,0.9993150684931507,8754,44000
30,0,198603.39999999997,39856.4688,158746.9312,0.0,0.0,0.0,0.20068371840562638,0.7993162815943736,0.0,8760,1.0,8760,21000
