pv_size_kwp,battery_size_kwh,total_load_kwh,total_pv_generation_kwh,total_grid_import_kwh,total_curtailed_kwh,renewable_fraction,curtailment_fraction,capex_estimate
10,0,172139.583,13285.4896,158854.0934,0.0,0.07717858593859844,0.0,7000
10,10,172139.583,13285.4896,158849.34998350975,0.0,0.07720614157924541,0.0,10000
10,20,172139.583,13285.4896,158844.60656701948,0.0,0.07723369721989237,0.0,13000
10,40,172139.583,13285.4896,158835.11973403898,0.0,0.07728880850118613,0.0,19000
10,60,172139.583,13285.4896,158825.63290105847,0.0,0.07734391978247988,0.0,25000
10,100,172139.583,13285.4896,158806.65923509747,0.0,0.0774541423450674,0.0,37000
20,0,172139.583,26570.9792,145568.6038,0.0,0.15435717187719689,0.0,14000
20,10,172139.583,26570.9792,145563.86038350977,0.0,0.15438472751784368,0.0,17000
20,20,172139.583,26570.9792,145559.1169670195,0.0,0.15441228315849065,0.0,20000
20,40,172139.583,26570.9792,145549.630134039,0.0,0.1544673944397844,0.0,26000
20,60,172139.583,26570.9792,145540.1433010585,0.0,0.15452250572107817,0.0,32000
20,100,172139.583,26570.9792,145521.1696350975,0.0,0.15463272828366567,0.0,44000
30,0,172139.583,39856.4688,132319.1412,36.02699999999996,0.2313264683579488,0.0009039185127208248,21000
30,10,172139.583,39856.4688,132281.97348350973,0.0,0.2315423845106577,0.0,24000
30,20,172139.583,39856.4688,132277.2300670195,0.0,0.2315699401513045,0.0,27000
30,40,172139.583,39856.4688,132267.743234039,0.0,0.23162505143259826,0.0,33000
30,60,172139.583,39856.4688,132258.2564010585,0.0,0.23168016271389202,0.0,39000
30,100,172139.583,39856.4688,132239.28273509748,0.0,0.23179038527647952,0.0,51000
40,0,172139.583,53141.9584,119699.5578,701.9331999999998,0.3046366459479573,0.013208643812419223,28000
40,10,172139.583,53141.9584,119363.11329793863,333.37643825431877,0.3065911325116977,0.006273318641081898,31000
40,20,172139.583,53141.9584,119175.84128356536,130.56688505095119,0.30767904042404154,0.0024569453023950126,34000
40,40,172139.583,53141.9584,119048.844254039,0.0,0.3084167965363377,0.0,40000
40,60,172139.583,53141.9584,119039.35742105849,0.0,0.30847190781763145,0.0,46000
40,100,172139.583,53141.9584,119020.38375509749,0.0,0.308582130380219,0.0,58000
50,0,172139.583,66427.448,107969.2945,2257.1594999999998,0.37278055042110797,0.0339793198137011,35000
50,10,172139.583,66427.448,107157.35218025056,1360.271829712005,0.37749731750976445,0.0204775566526657,38000
50,20,172139.583,66427.448,106792.19380626717,959.8107658307456,0.37961860982161694,0.014449008575954108,41000
50,40,172139.583,66427.448,106282.89496367655,404.46408848618694,0.38257724858275893,0.006088809681296005,47000
50,60,172139.583,66427.448,105997.58412222817,97.99296796632403,0.3842346874848177,0.001475187906756918,53000
50,100,172139.583,66427.448,105890.41678509746,0.0,0.38485724817227274,0.0,65000
75,0,172139.583,99641.17199999999,90304.04475,17805.633749999997,0.4754022103678502,0.1786975543603602,52500
75,10,172139.583,99641.17199999999,87380.30326338347,14562.302560970793,0.49238692379437526,0.14614744355847997,55500
75,20,172139.583,99641.17199999999,84802.1981071431,11703.011739026217,0.5073637531285115,0.11745156649729309,58500
75,40,172139.583,99641.17199999999,80662.29579923124,7113.661211324732,0.5314134355766899,0.07139278943170935,64500
75,60,172139.583,99641.17199999999,77778.67588604207,3920.1800110928643,0.5481650731892266,0.039342973716656654,70500
75,100,172139.583,99641.17199999999,75396.24650536108,1294.1181058484583,0.5620051751527649,0.012987784867167744,82500
100,0,172139.583,132854.896,81057.96,41773.273,0.5291149276224284,0.31442780249513724,70000
100,10,172139.583,132854.896,77768.78908618275,38123.909114081114,0.5482225079737603,0.28695900762348353,73000
100,20,172139.583,132854.896,74711.64910217056,34732.35737239007,0.5659821651701656,0.2614307670858443,76000
100,40,172139.583,132854.896,69041.89558740536,28443.17217040708,0.5989191190999611,0.21409201336778044,82000
100,60,172139.583,132854.896,63864.59484511957,22701.15671562342,0.6289952971181557,0.17087181127012,88000
100,100,172139.583,132854.896,54947.163154867,12813.98113307724,0.6807987901605002,0.09645095151839372,100000
